location_name,location_latitude,location_longitude,sensor_device_id,sensor_name,sensor_public_name,link_name,direction,sensor_latitude,sensor_longitude,distance_miles,vehicle_speed,sample_period,timestamp
Seven Corners,38.8719,-77.1557,OpenTMS-Detector1605641743,NRO-TSS-I66-E-00694,,I-66E,e,38.884353,-77.152565,0.877,0.0,60,2026-08-08T13:39:45.989Z
Route 50 & Loudoun County Pkwy (North),38.989,-77.517,OpenTMS-Detector580523213,NRO-TSS-VA28-N-00422,,VA-28N,n,39.003507,-77.436844,4.419,51.0,60,2026-08-08T13:40:00Z
Waxpool Rd & Claiborne Pkwy,39.02,-77.48,OpenTMS-Detector580523213,NRO-TSS-VA28-N-00422,,VA-28N,n,39.003507,-77.436844,2.582,51.0,60,2026-08-08T13:40:00Z
Route 7 & Baron Cameron Ave,39.0184,-77.4289,OpenTMS-Detector580523249,NRO-TSS-VA28-S-00424,,VA-28S,s,39.00695,-77.434817,0.853,57.0,60,2026-08-08T13:41:00Z
Route 28 & Waxpool Rd,39.0206,-77.4313,OpenTMS-Detector580523249,NRO-TSS-VA28-S-00424,,VA-28S,s,39.00695,-77.434817,0.962,57.0,60,2026-08-08T13:41:00Z
Route 28 & Sterling Blvd,39.006,-77.428,OpenTMS-Detector580523249,NRO-TSS-VA28-S-00424,,VA-28S,s,39.00695,-77.434817,0.372,57.0,60,2026-08-08T13:41:00Z
Algonkian Pkwy & Cascades Pkwy,39.0515,-77.3968,OpenTMS-Detector580523249,NRO-TSS-VA28-S-00424,,VA-28S,s,39.00695,-77.434817,3.693,57.0,60,2026-08-08T13:41:00Z
Route 7 & Leesburg Pike,39.1157,-77.5636,OpenTMS-Detector580523249,NRO-TSS-VA28-S-00424,,VA-28S,s,39.00695,-77.434817,10.208,57.0,60,2026-08-08T13:41:00Z
Fairfax Blvd & Chain Bridge Rd,38.8462,-77.3064,OpenTMS-Detector580521527,NRO-TSS-I495-S-00567,,I-495S,s,38.78917,-77.17778,7.967,51.0,60,2026-08-08T13:41:06.024Z
Lee Hwy & Nutley St,38.8734,-77.2648,OpenTMS-Detector1605641743,NRO-TSS-I66-E-00694,,I-66E,e,38.884353,-77.152565,6.084,0.0,60,2026-08-08T13:39:45.989Z
Braddock Rd & Ox Rd,38.7938,-77.3647,OpenTMS-Detector580523136,NRO-TSS-VA28-N-00342,,VA-28N,n,38.891569,-77.44292,7.959,58.0,60,2026-08-08T13:41:00Z
I-66 Exit 53,38.8624,-77.3568,OpenTMS-Detector580523136,NRO-TSS-VA28-N-00342,,VA-28N,n,38.891569,-77.44292,5.052,58.0,60,2026-08-08T13:41:00Z
Route 29 & Stringfellow Rd,38.8892,-77.4374,OpenTMS-Detector580523136,NRO-TSS-VA28-N-00342,,VA-28N,n,38.891569,-77.44292,0.339,58.0,60,2026-08-08T13:41:00Z
Centreville Rd & Frying Pan Rd,38.9593,-77.4076,OpenTMS-Detector580523167,NRO-TSS-VA28-N-00385,,VA-28N,n,38.94948,-77.42825,1.301,67.0,60,2026-08-08T13:41:00Z
Route 50 & Stonecroft Blvd,38.9008,-77.5124,OpenTMS-Detector580523136,NRO-TSS-VA28-N-00342,,VA-28N,n,38.891569,-77.44292,3.79,58.0,60,2026-08-08T13:41:00Z
Old Ox Rd & Pacific Blvd,39.0005,-77.4197,OpenTMS-Detector580523223,NRO-TSS-VA28-N-00422-2,,VA-28N,n,39.001861,-77.434674,0.81,53.0,60,2026-08-08T13:41:00Z
Belmont Ridge Rd & Croson Ln,39.0434,-77.5155,OpenTMS-Detector580523249,NRO-TSS-VA28-S-00424,,VA-28S,s,39.00695,-77.434817,5.01,57.0,60,2026-08-08T13:41:00Z
Route 606 & Route 28,38.9805,-77.4272,OpenTMS-Detector580523190,NRO-TSS-VA28-N-00406,,VA-28N,n,38.98235,-77.42905,0.162,61.0,60,2026-08-08T13:41:00Z
Dulles Greenway Toll Plaza,39.0209,-77.4598,OpenTMS-Detector580523249,NRO-TSS-VA28-S-00424,,VA-28S,s,39.00695,-77.434817,1.652,57.0,60,2026-08-08T13:41:00Z
Loudoun County Pkwy & Ryan Rd,39.03,-77.455,OpenTMS-Detector580523249,NRO-TSS-VA28-S-00424,,VA-28S,s,39.00695,-77.434817,1.926,57.0,60,2026-08-08T13:41:00Z
Waxpool Rd & Loudoun County Pkwy,39.018,-77.457,OpenTMS-Detector580523249,NRO-TSS-VA28-S-00424,,VA-28S,s,39.00695,-77.434817,1.415,57.0,60,2026-08-08T13:41:00Z
Farmwell Rd & Ashburn Village Blvd,39.05,-77.5,OpenTMS-Detector580523249,NRO-TSS-VA28-S-00424,,VA-28S,s,39.00695,-77.434817,4.592,57.0,60,2026-08-08T13:41:00Z
Ashburn Village Blvd & Gloucester Pkwy,39.03,-77.505,OpenTMS-Detector580523249,NRO-TSS-VA28-S-00424,,VA-28S,s,39.00695,-77.434817,4.09,57.0,60,2026-08-08T13:41:00Z
Ashburn Village Blvd & Waxpool Rd,39.015,-77.505,OpenTMS-Detector580523213,NRO-TSS-VA28-N-00422,,VA-28N,n,39.003507,-77.436844,3.744,51.0,60,2026-08-08T13:40:00Z
Briar Woods Rd & Belmont Ridge Rd,39.015,-77.52,OpenTMS-Detector580523213,NRO-TSS-VA28-N-00422,,VA-28N,n,39.003507,-77.436844,4.535,51.0,60,2026-08-08T13:40:00Z
Evergreen Mills Rd & Belmont Ridge Rd,38.96,-77.54,OpenTMS-Detector580523240,NRO-TSS-VA28-S-00384,,VA-28S,s,38.949909,-77.431193,5.888,40.0,60,2026-08-08T13:41:00Z
Loudoun County Pkwy & Evergreen Mills Rd,38.96,-77.53,OpenTMS-Detector580523240,NRO-TSS-VA28-S-00384,,VA-28S,s,38.949909,-77.431193,5.355,40.0,60,2026-08-08T13:41:00Z
Mooreview Pkwy & Belmont Ridge Rd,39.0,-77.52,OpenTMS-Detector580523213,NRO-TSS-VA28-N-00422,,VA-28N,n,39.003507,-77.436844,4.472,51.0,60,2026-08-08T13:40:00Z
Leesburg Pike & Spring Hill Rd,38.927,-77.23,OpenTMS-Detector10946607774,NRO-TSS-I495-N-00437 (495Next),,I-495N,n,38.951833,-77.19599,2.507,63.0,60,2026-08-08T13:40:00Z
Leesburg Pike & International Dr,38.925,-77.225,OpenTMS-Detector10946607774,NRO-TSS-I495-N-00437 (495Next),,I-495N,n,38.951833,-77.19599,2.422,63.0,60,2026-08-08T13:40:00Z
Tysons Blvd & Galleria Dr,38.924,-77.225,OpenTMS-Detector10946607774,NRO-TSS-I495-N-00437 (495Next),,I-495N,n,38.951833,-77.19599,2.476,63.0,60,2026-08-08T13:40:00Z
Spring Hill Rd & Jones Branch Dr,38.924,-77.23,OpenTMS-Detector10946607774,NRO-TSS-I495-N-00437 (495Next),,I-495N,n,38.951833,-77.19599,2.653,63.0,60,2026-08-08T13:40:00Z
Jones Branch Dr & International Dr,38.922,-77.22,OpenTMS-Detector10946607774,NRO-TSS-I495-N-00437 (495Next),,I-495N,n,38.951833,-77.19599,2.432,63.0,60,2026-08-08T13:40:00Z
Westpark Dr & Park Run Dr,38.922,-77.235,OpenTMS-Detector10946607774,NRO-TSS-I495-N-00437 (495Next),,I-495N,n,38.951833,-77.19599,2.94,63.0,60,2026-08-08T13:40:00Z
Gallows Rd & Tyco Rd,38.92,-77.225,OpenTMS-Detector10946607774,NRO-TSS-I495-N-00437 (495Next),,I-495N,n,38.951833,-77.19599,2.696,63.0,60,2026-08-08T13:40:00Z
Old Courthouse Rd & Gallows Rd,38.92,-77.23,OpenTMS-Detector10946607774,NRO-TSS-I495-N-00437 (495Next),,I-495N,n,38.951833,-77.19599,2.86,63.0,60,2026-08-08T13:40:00Z
Reston Pkwy & New Dominion Pkwy,38.96,-77.35,OpenTMS-Detector580523167,NRO-TSS-VA28-N-00385,,VA-28N,n,38.94948,-77.42825,4.267,67.0,60,2026-08-08T13:41:00Z
Reston Pkwy & Market St,38.96,-77.36,OpenTMS-Detector580523167,NRO-TSS-VA28-N-00385,,VA-28N,n,38.94948,-77.42825,3.738,67.0,60,2026-08-08T13:41:00Z
Wiehle Ave & Sunset Hills Rd,38.955,-77.34,OpenTMS-Detector580523167,NRO-TSS-VA28-N-00385,,VA-28N,n,38.94948,-77.42825,4.757,67.0,60,2026-08-08T13:41:00Z
Wiehle Ave & Reston Station Blvd,38.947,-77.34,OpenTMS-Detector580523167,NRO-TSS-VA28-N-00385,,VA-28N,n,38.94948,-77.42825,4.745,67.0,60,2026-08-08T13:41:00Z
Sunrise Valley Dr & Reston Pkwy,38.95,-77.37,OpenTMS-Detector580523167,NRO-TSS-VA28-N-00385,,VA-28N,n,38.94948,-77.42825,3.13,67.0,60,2026-08-08T13:41:00Z
Sunrise Valley Dr & South Lakes Dr,38.94,-77.36,OpenTMS-Detector580523167,NRO-TSS-VA28-N-00385,,VA-28N,n,38.94948,-77.42825,3.726,67.0,60,2026-08-08T13:41:00Z
Dranesville Rd & Sunrise Valley Dr,38.95,-77.39,OpenTMS-Detector580523167,NRO-TSS-VA28-N-00385,,VA-28N,n,38.94948,-77.42825,2.056,67.0,60,2026-08-08T13:41:00Z
